distance_km,weather,day_of_week,time_of_day,train_type,delay_min,congestion,train_no
1696.0,Clear,Saturday,Afternoon,Express,210.5,High,11043
1696.0,Rainy,Sunday,Night,Express,6.1,Low,11043
1696.0,Foggy,Wednesday,Afternoon,Express,217.4,High,11043
1700.0,Clear,Thursday,Morning,Express,136.3,High,11044
1700.0,Clear,Tuesday,Night,Express,113.0,High,11044
1700.0,Clear,Wednesday,Night,Express,184.6,High,11044
2894.0,Rainy,Tuesday,Afternoon,Express,86.3,High,11045
2894.0,Clear,Thursday,Afternoon,Express,13.1,Low,11045
2894.0,Rainy,Sunday,Evening,Express,0.0,Low,11045
2892.0,Clear,Wednesday,Evening,Express,6.9,Low,11046
2892.0,Foggy,Thursday,Late Night,Express,96.2,High,11046
2892.0,Foggy,Wednesday,Late Night,Express,133.3,High,11046
278.0,Clear,Wednesday,Morning,Express,68.2,High,11047
278.0,Clear,Wednesday,Late Night,Express,54.3,High,11047
278.0,Clear,Friday,Morning,Express,68.4,High,11047
279.0,Rainy,Saturday,Evening,Express,249.6,High,11048
279.0,Rainy,Friday,Night,Express,45.6,High,11048
279.0,Foggy,Thursday,Morning,Express,374.9,High,11048
949.0,Foggy,Wednesday,Afternoon,Express,141.6,High,11049
949.0,Clear,Monday,Night,Express,1.0,Low,11049
949.0,Foggy,Saturday,Late Night,Express,0.0,Low,11049
949.0,Foggy,Wednesday,Afternoon,Express,128.1,High,11050
949.0,Rainy,Saturday,Morning,Express,97.9,High,11050
949.0,Rainy,Wednesday,Late Night,Express,91.8,High,11050
314.0,Foggy,Saturday,Morning,Express,181.7,High,11051
314.0,Rainy,Wednesday,Late Night,Express,36.4,Medium,11051
314.0,Foggy,Wednesday,Night,Express,1.9,Low,11051
314.0,Rainy,Friday,Evening,Express,0.0,Low,11052
314.0,Clear,Thursday,Afternoon,Express,21.8,Medium,11052
314.0,Foggy,Saturday,Night,Express,161.5,High,11052
1552.0,Foggy,Friday,Afternoon,Express,160.9,High,11053
1552.0,Foggy,Thursday,Evening,Express,0.0,Low,11053
1552.0,Foggy,Wednesday,Morning,Express,154.9,High,11053
1551.0,Rainy,Thursday,Afternoon,Express,137.8,High,11054
1551.0,Foggy,Saturday,Late Night,Express,0.0,Low,11054
1551.0,Rainy,Thursday,Night,Express,101.3,High,11054
1732.0,Rainy,Friday,Afternoon,Express,126.8,High,11055
1732.0,Rainy,Saturday,Afternoon,Express,0.0,Low,11055
1732.0,Clear,Friday,Evening,Express,143.5,High,11055
1732.0,Foggy,Wednesday,Late Night,Express,120.0,High,11056
1732.0,Clear,Saturday,Afternoon,Express,204.6,High,11056
1732.0,Rainy,Sunday,Afternoon,Express,241.9,High,11056
2026.0,Clear,Monday,Afternoon,Express,0.0,Low,11057
2026.0,Clear,Thursday,Afternoon,Express,0.0,Low,11057
2026.0,Foggy,Thursday,Morning,Express,256.1,High,11057
2029.0,Rainy,Tuesday,Late Night,Express,109.7,High,11058
2029.0,Foggy,Thursday,Night,Express,177.4,High,11058
2029.0,Rainy,Tuesday,Afternoon,Express,533.3,High,11058
1772.0,Foggy,Sunday,Morning,Express,272.3,High,11059
1772.0,Clear,Tuesday,Night,Express,136.5,High,11059
1772.0,Clear,Thursday,Late Night,Express,106.2,High,11059
1770.0,Clear,Tuesday,Late Night,Express,80.6,High,11060
1770.0,Clear,Tuesday,Night,Express,38.0,Medium,11060
1770.0,Rainy,Friday,Late Night,Express,157.0,High,11060
1885.0,Foggy,Sunday,Evening,Express,18.3,Medium,11061
1885.0,Rainy,Sunday,Late Night,Express,58.3,High,11061
1885.0,Foggy,Thursday,Late Night,Express,37.3,Medium,11061
1883.0,Foggy,Tuesday,Night,Express,107.0,High,11062
1883.0,Foggy,Thursday,Night,Express,392.4,High,11062
1883.0,Rainy,Sunday,Afternoon,Express,0.0,Low,11062
352.0,Foggy,Sunday,Evening,Express,169.2,High,11063
352.0,Foggy,Saturday,Night,Express,0.0,Low,11063
352.0,Clear,Thursday,Evening,Express,25.0,Medium,11063
352.0,Clear,Tuesday,Evening,Express,110.9,High,11064
352.0,Rainy,Wednesday,Evening,Express,74.2,High,11064
352.0,Foggy,Tuesday,Morning,Express,0.0,Low,11064
1510.0,Clear,Thursday,Afternoon,Express,12.3,Low,11067
1510.0,Foggy,Saturday,Afternoon,Express,244.5,High,11067
1510.0,Clear,Thursday,Morning,Express,14.5,Low,11067
1509.0,Rainy,Friday,Evening,Express,167.3,High,11068
1509.0,Rainy,Monday,Night,Express,89.5,High,11068
1509.0,Clear,Thursday,Night,Express,15.5,Medium,11068
1645.0,Foggy,Sunday,Morning,Express,549.3,High,11071
1645.0,Foggy,Thursday,Night,Express,174.2,High,11071
1645.0,Clear,Wednesday,Evening,Express,0.0,Low,11071
1647.0,Rainy,Friday,Night,Express,126.8,High,11072
1647.0,Foggy,Sunday,Late Night,Express,20.9,Medium,11072
1647.0,Foggy,Thursday,Afternoon,Express,221.8,High,11072
1265.0,Clear,Thursday,Evening,Express,7.1,Low,11073
1265.0,Rainy,Thursday,Morning,Express,99.4,High,11073
1265.0,Rainy,Saturday,Night,Express,159.0,High,11073
1267.0,Clear,Tuesday,Night,Express,102.4,High,11074
1267.0,Foggy,Monday,Late Night,Express,0.0,Low,11074
1267.0,Rainy,Friday,Late Night,Express,45.0,High,11074
651.0,Foggy,Monday,Morning,Express,48.5,High,11075
651.0,Foggy,Tuesday,Night,Express,16.9,Medium,11075
651.0,Rainy,Monday,Afternoon,Express,215.6,High,11075
651.0,Rainy,Wednesday,Night,Express,85.5,High,11076
651.0,Clear,Wednesday,Night,Express,0.0,Low,11076
651.0,Rainy,Wednesday,Night,Express,119.8,High,11076
2155.0,Rainy,Sunday,Evening,Express,502.1,High,11077
2155.0,Clear,Monday,Night,Express,156.9,High,11077
2155.0,Foggy,Monday,Late Night,Express,0.0,Low,11077
2157.0,Rainy,Saturday,Afternoon,Express,63.7,High,11078
2157.0,Clear,Sunday,Morning,Express,277.8,High,11078
2157.0,Clear,Tuesday,Afternoon,Express,13.9,Low,11078
1745.0,Clear,Tuesday,Late Night,Express,69.1,High,11079
1745.0,Clear,Thursday,Afternoon,Express,135.9,High,11079
1745.0,Foggy,Friday,Morning,Express,0.0,Low,11079
1745.0,Clear,Saturday,Night,Express,77.0,High,11080
1745.0,Rainy,Tuesday,Evening,Express,0.0,Low,11080
1745.0,Foggy,Saturday,Late Night,Express,0.0,Low,11080
1731.0,Foggy,Sunday,Morning,Express,115.9,High,11081
1731.0,Clear,Monday,Evening,Express,0.0,Low,11081
1731.0,Foggy,Wednesday,Morning,Express,389.2,High,11081
1731.0,Foggy,Thursday,Night,Express,0.0,Low,11082
1731.0,Foggy,Monday,Afternoon,Express,57.1,High,11082
1731.0,Foggy,Monday,Afternoon,Express,132.1,High,11082
1153.0,Foggy,Sunday,Evening,Express,336.5,High,11083
1153.0,Foggy,Sunday,Late Night,Express,0.0,Low,11083
1153.0,Clear,Sunday,Late Night,Express,108.0,High,11083
1153.0,Clear,Friday,Evening,Express,87.1,High,11084
1153.0,Rainy,Monday,Evening,Express,0.0,Low,11084
1153.0,Foggy,Monday,Evening,Express,178.1,High,11084
574.0,Rainy,Monday,Night,Express,76.6,High,11085
574.0,Rainy,Saturday,Evening,Express,33.3,Medium,11085
574.0,Rainy,Thursday,Afternoon,Express,74.9,High,11085
578.0,Clear,Saturday,Late Night,Express,24.7,Medium,11086
578.0,Rainy,Sunday,Late Night,Express,59.9,High,11086
578.0,Foggy,Thursday,Night,Express,125.5,High,11086
1053.0,Rainy,Wednesday,Late Night,Express,147.3,High,11087
1053.0,Rainy,Sunday,Afternoon,Express,0.0,Low,11087
1053.0,Clear,Thursday,Evening,Express,242.4,High,11087
1053.0,Clear,Friday,Night,Express,0.0,Low,11088
1053.0,Foggy,Wednesday,Night,Express,63.6,High,11088
1053.0,Clear,Sunday,Night,Express,96.5,High,11088
1074.0,Rainy,Thursday,Afternoon,Express,109.4,High,11089
1074.0,Clear,Sunday,Evening,Express,22.3,Medium,11089
1074.0,Rainy,Wednesday,Evening,Express,68.9,High,11089
1072.0,Foggy,Friday,Evening,Express,58.6,High,11090
1072.0,Clear,Tuesday,Late Night,Express,12.3,Low,11090
1072.0,Clear,Saturday,Afternoon,Express,148.3,High,11090
981.0,Rainy,Friday,Night,Express,120.3,High,11091
981.0,Clear,Saturday,Night,Express,13.7,Low,11091
981.0,Foggy,Thursday,Night,Express,167.6,High,11091
981.0,Clear,Wednesday,Morning,Express,91.6,High,11092
981.0,Clear,Saturday,Night,Express,126.8,High,11092
981.0,Clear,Saturday,Evening,Express,150.7,High,11092
1516.0,Foggy,Thursday,Evening,Express,6.8,Low,11093
1516.0,Foggy,Wednesday,Late Night,Express,24.8,Medium,11093
1516.0,Rainy,Wednesday,Late Night,Express,111.8,High,11093
1515.0,Rainy,Wednesday,Night,Express,131.6,High,11094
1515.0,Rainy,Tuesday,Evening,Express,100.9,High,11094
1515.0,Clear,Wednesday,Afternoon,Express,69.8,High,11094
623.0,Clear,Sunday,Late Night,Express,94.9,High,11095
623.0,Foggy,Tuesday,Afternoon,Express,23.8,Medium,11095
623.0,Clear,Wednesday,Night,Express,67.1,High,11095
622.0,Foggy,Sunday,Late Night,Express,47.4,High,11096
622.0,Foggy,Wednesday,Late Night,Express,38.6,Medium,11096
622.0,Clear,Wednesday,Afternoon,Express,103.5,High,11096
1278.0,Clear,Tuesday,Evening,Express,133.8,High,11097
1278.0,Rainy,Saturday,Morning,Express,282.1,High,11097
1278.0,Foggy,Wednesday,Afternoon,Express,228.7,High,11097
1279.0,Clear,Friday,Morning,Express,99.3,High,11098
1279.0,Rainy,Saturday,Afternoon,Express,200.1,High,11098
1279.0,Rainy,Sunday,Morning,Express,80.9,High,11098
1373.0,Clear,Wednesday,Late Night,Express,56.6,High,11101
1373.0,Rainy,Thursday,Night,Express,69.6,High,11101
1373.0,Rainy,Monday,Afternoon,Express,101.0,High,11101
1373.0,Rainy,Monday,Night,Express,137.5,High,11102
1373.0,Clear,Thursday,Night,Express,3.8,Low,11102
1373.0,Clear,Saturday,Late Night,Express,196.2,High,11102
1321.0,Foggy,Tuesday,Morning,Express,0.0,Low,11103
1321.0,Clear,Wednesday,Late Night,Express,0.0,Low,11103
1321.0,Clear,Monday,Afternoon,Express,148.5,High,11103
1321.0,Foggy,Friday,Night,Express,207.2,High,11104
1321.0,Foggy,Tuesday,Late Night,Express,111.5,High,11104
1321.0,Foggy,Thursday,Night,Express,158.2,High,11104
629.0,Rainy,Sunday,Evening,Express,91.5,High,11107
629.0,Foggy,Wednesday,Night,Express,0.0,Low,11107
629.0,Foggy,Monday,Late Night,Express,61.6,High,11107
629.0,Foggy,Sunday,Morning,Express,26.0,Medium,11108
629.0,Clear,Wednesday,Afternoon,Express,97.3,High,11108
629.0,Foggy,Tuesday,Morning,Express,79.6,High,11108
291.0,Clear,Friday,Afternoon,Express,2.9,Low,11109
291.0,Clear,Monday,Afternoon,Express,27.9,Medium,11109
291.0,Rainy,Saturday,Night,Express,104.1,High,11109
291.0,Foggy,Wednesday,Night,Express,20.5,Medium,11110
291.0,Clear,Wednesday,Afternoon,Express,2.4,Low,11110
291.0,Foggy,Saturday,Evening,Express,137.8,High,11110
939.0,Rainy,Saturday,Morning,Express,167.7,High,11111
939.0,Clear,Sunday,Evening,Express,31.2,Medium,11111
939.0,Foggy,Saturday,Late Night,Express,37.2,Medium,11111
941.0,Clear,Monday,Night,Express,64.5,High,11112
941.0,Foggy,Saturday,Afternoon,Express,0.0,Low,11112
941.0,Clear,Sunday,Evening,Express,0.0,Low,11112
1051.0,Clear,Monday,Morning,Express,13.7,Low,11123
1051.0,Clear,Friday,Evening,Express,63.0,High,11123
1051.0,Foggy,Wednesday,Late Night,Express,81.0,High,11123
1054.0,Rainy,Thursday,Morning,Express,287.4,High,11124
1054.0,Foggy,Saturday,Evening,Express,284.5,High,11124
1054.0,Rainy,Friday,Evening,Express,95.4,High,11124
561.0,Foggy,Thursday,Night,Express,69.4,High,11125
561.0,Clear,Monday,Late Night,Express,0.0,Low,11125
561.0,Rainy,Friday,Evening,Express,95.8,High,11125
561.0,Rainy,Monday,Morning,Express,60.1,High,11126
561.0,Clear,Friday,Late Night,Express,55.8,High,11126
561.0,Clear,Friday,Evening,Express,3.8,Low,11126
1329.0,Clear,Thursday,Afternoon,Express,102.1,High,1119
1329.0,Foggy,Wednesday,Night,Express,230.8,High,1119
1329.0,Clear,Thursday,Late Night,Express,39.3,Medium,1119
1319.0,Foggy,Monday,Night,Express,134.2,High,1120
1319.0,Rainy,Thursday,Evening,Express,192.0,High,1120
1319.0,Rainy,Saturday,Evening,Express,74.0,High,1120
1015.0,Clear,Wednesday,Afternoon,Express,66.3,High,11201
1015.0,Rainy,Wednesday,Night,Express,67.4,High,11201
1015.0,Foggy,Sunday,Night,Express,101.4,High,11201
1015.0,Foggy,Thursday,Morning,Express,14.1,Low,11202
1015.0,Clear,Wednesday,Evening,Express,65.1,High,11202
1015.0,Rainy,Sunday,Morning,Express,180.8,High,11202
1340.0,Rainy,Sunday,Late Night,Express,182.7,High,11203
1340.0,Clear,Thursday,Late Night,Express,94.3,High,11203
1340.0,Rainy,Tuesday,Morning,Express,368.2,High,11203
1340.0,Foggy,Friday,Evening,Express,17.9,Medium,11204
1340.0,Rainy,Sunday,Night,Express,176.5,High,11204
1340.0,Clear,Wednesday,Afternoon,Express,70.7,High,11204
699.0,Foggy,Wednesday,Afternoon,Express,264.7,High,11205
699.0,Rainy,Monday,Night,Express,5.0,Low,11205
699.0,Clear,Sunday,Late Night,Express,1.6,Low,11205
699.0,Clear,Wednesday,Afternoon,Express,14.9,Low,11206
699.0,Foggy,Friday,Morning,Express,0.0,Low,11206
699.0,Rainy,Tuesday,Morning,Express,34.3,Medium,11206
569.0,Clear,Monday,Night,Express,5.9,Low,1122
569.0,Foggy,Thursday,Afternoon,Express,92.7,High,1122
569.0,Foggy,Friday,Evening,Express,156.0,High,1122
432.0,Foggy,Thursday,Evening,Express,282.6,High,11265
432.0,Rainy,Tuesday,Night,Express,111.9,High,11265
432.0,Rainy,Tuesday,Late Night,Express,14.2,Low,11265
434.0,Rainy,Friday,Afternoon,Express,0.0,Low,11266
434.0,Foggy,Sunday,Afternoon,Express,127.8,High,11266
434.0,Clear,Sunday,Evening,Express,0.0,Low,11266
737.0,Rainy,Sunday,Evening,Express,298.7,High,11272
737.0,Foggy,Sunday,Evening,Express,259.1,High,11272
737.0,Clear,Saturday,Evening,Express,37.3,Medium,11272
1154.0,Rainy,Friday,Late Night,Express,0.0,Low,11301
1154.0,Foggy,Sunday,Night,Express,243.0,High,11301
1154.0,Clear,Friday,Night,Express,56.1,High,11301
1154.0,Rainy,Wednesday,Evening,Express,223.9,High,11302
1154.0,Foggy,Thursday,Late Night,Express,0.0,Low,11302
1154.0,Rainy,Sunday,Evening,Express,35.1,Medium,11302
989.0,Clear,Friday,Afternoon,Express,68.4,High,11303
989.0,Rainy,Sunday,Afternoon,Express,92.6,High,11303
989.0,Rainy,Wednesday,Morning,Express,46.2,High,11303
987.0,Foggy,Saturday,Night,Express,180.4,High,11304
987.0,Rainy,Saturday,Night,Express,0.0,Low,11304
987.0,Foggy,Thursday,Afternoon,Express,77.0,High,11304
221.0,Clear,Friday,Afternoon,Express,57.5,High,11307
221.0,Foggy,Sunday,Evening,Express,142.2,High,11307
221.0,Clear,Monday,Night,Express,69.8,High,11307
223.0,Foggy,Monday,Night,Express,0.0,Low,11308
223.0,Foggy,Thursday,Afternoon,Express,0.0,Low,11308
223.0,Foggy,Monday,Afternoon,Express,168.4,High,11308
267.0,Rainy,Wednesday,Evening,Express,92.0,High,11309
267.0,Foggy,Saturday,Night,Express,11.6,Low,11309
267.0,Clear,Sunday,Evening,Express,158.4,High,11309
267.0,Foggy,Thursday,Late Night,Express,55.3,High,11310
267.0,Rainy,Sunday,Night,Express,140.8,High,11310
267.0,Foggy,Friday,Morning,Express,115.6,High,11310
1053.0,Clear,Saturday,Afternoon,Express,251.0,High,11401
1053.0,Foggy,Tuesday,Evening,Express,308.4,High,11401
1053.0,Foggy,Thursday,Morning,Express,87.5,High,11401
1052.0,Clear,Thursday,Morning,Express,161.2,High,11402
1052.0,Clear,Monday,Evening,Express,122.5,High,11402
1052.0,Clear,Sunday,Evening,Express,197.2,High,11402
1026.0,Clear,Wednesday,Evening,Express,0.0,Low,11403
1026.0,Rainy,Tuesday,Night,Express,119.0,High,11403
1026.0,Clear,Thursday,Late Night,Express,90.1,High,11403
1026.0,Foggy,Tuesday,Afternoon,Express,0.0,Low,11404
1026.0,Clear,Friday,Morning,Express,0.0,Low,11404
1026.0,Rainy,Saturday,Late Night,Express,0.0,Low,11404
811.0,Clear,Friday,Night,Express,39.8,Medium,11405
811.0,Clear,Thursday,Afternoon,Express,98.5,High,11405
811.0,Foggy,Thursday,Evening,Express,282.3,High,11405
812.0,Rainy,Sunday,Morning,Express,116.6,High,11406
812.0,Rainy,Saturday,Evening,Express,331.2,High,11406
812.0,Foggy,Monday,Afternoon,Express,0.0,Low,11406
1478.0,Rainy,Friday,Evening,Express,0.0,Low,11407
1478.0,Rainy,Saturday,Night,Express,100.5,High,11407
1478.0,Rainy,Sunday,Night,Express,132.4,High,11407
1478.0,Rainy,Thursday,Afternoon,Express,90.2,High,11408
1478.0,Rainy,Tuesday,Morning,Express,0.0,Low,11408
1478.0,Rainy,Wednesday,Late Night,Express,53.6,High,11408
357.0,Foggy,Saturday,Evening,Express,0.0,Low,11423
357.0,Rainy,Sunday,Morning,Express,159.0,High,11423
357.0,Foggy,Wednesday,Night,Express,84.3,High,11423
356.0,Clear,Sunday,Late Night,Express,0.0,Low,11424
356.0,Foggy,Friday,Morning,Express,46.0,High,11424
